season,week,away_team,away_rating,home_team,home_rating,spread_line,total_line,away_wp_elo,home_wp_elo,away_wp_vegas,away_wp_baseline,home_wp_baseline,away_wp_xgboost_optuna_tuner,home_wp_xgboost_optuna_tuner,updated_at
2024,4,DAL,1606.3246994914082,NYG,1367.255734730274,-7.0,43.5,0.6159110625933619,0.3840889374066382,1,0.806,0.19399999999999995,0.7852167,0.21478331,2024-09-19 15:18:29
2024,4,NO,1612.5782451214113,ATL,1390.62002149713,1.0,46.0,0.6041960620308805,0.3958039379691195,0,0.564,0.43600000000000005,0.47595128,0.5240487,2024-09-19 15:18:29
2024,4,CIN,1542.3731424580612,CAR,1230.2361362975585,-7.0,43.0,0.6643042858274071,0.33569571417259286,1,0.774,0.22599999999999998,0.78256863,0.21743137,2024-09-19 15:18:29
2024,4,LA,1452.1820815935507,CHI,1433.3317609509782,3.0,42.0,0.45968476707027744,0.5403152329297225,0,0.492,0.508,0.7347786,0.26522142,2024-09-19 15:18:29
2024,4,MIN,1564.5259470429858,GB,1578.7626536637038,2.5,42.5,0.43613970808919206,0.5638602919108079,0,0.406,0.594,0.60130644,0.39869356,2024-09-19 15:18:29
2024,4,JAX,1443.4612539531192,HOU,1511.7612013346616,5.5,46.0,0.39832470619993376,0.6016752938000662,0,0.352,0.648,0.504051,0.49594897,2024-09-19 15:18:29
2024,4,PIT,1591.1618416090573,IND,1426.0780150498076,1.0,41.0,0.5644598067184708,0.4355401932815292,0,0.434,0.5660000000000001,0.36713958,0.6328604,2024-09-19 15:18:29
2024,4,DEN,1407.3237164446143,NYJ,1444.6606937754116,7.5,38.0,0.41986397509508677,0.5801360249049132,0,0.35,0.65,0.254671,0.745329,2024-09-19 15:18:29
2024,4,PHI,1548.688148582339,TB,1585.667943898138,-1.0,47.0,0.42011440689496365,0.5798855931050363,1,0.448,0.552,0.38668483,0.61331517,2024-09-19 15:18:29
2024,4,WAS,1328.194840074404,ARI,1408.5005052061736,4.5,49.5,0.390072938151946,0.609927061848054,0,0.448,0.552,0.3491672,0.6508328,2024-09-19 15:18:29
2024,4,NE,1392.9402159011377,SF,1699.7422960867202,9.5,41.0,0.24994329787159378,0.7500567021284062,0,0.17,0.83,0.1512317,0.8487683,2024-09-19 15:18:29
2024,4,KC,1737.9938139976653,LAC,1483.743871158307,-4.0,43.5,0.6261938892570517,0.37380611074294834,1,0.68,0.31999999999999995,0.8474721,0.15252793,2024-09-19 15:18:29
2024,4,CLE,1502.4154353949684,LV,1493.3506521240772,-1.0,39.5,0.45269767964830426,0.5473023203516958,1,0.564,0.43600000000000005,0.6820556,0.3179444,2024-09-19 15:18:29
2024,4,BUF,1729.3523146697457,BAL,1625.28886505485,1.5,45.5,0.5209006467256856,0.4790993532743145,0,0.39,0.61,0.4155621,0.5844379,2024-09-19 15:18:29
2024,4,TEN,1356.3889353925322,MIA,1527.2188661442253,1.5,39.5,0.3301392284069941,0.6698607715930059,0,0.41,0.5900000000000001,0.66978395,0.33021605,2024-09-19 15:18:29
2024,4,SEA,1543.1907895966606,DET,1594.66866523914,4.0,48.5,0.40998374161025825,0.5900162583897418,0,0.456,0.544,0.40932003,0.59068,2024-09-19 15:18:29
